repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
filebrowser/filebrowser,Go,33377,https://github.com/filebrowser/filebrowser,SUCCESS,GoModules,True,GitHub Actions,d1c84a84123c77dede05c023b3697a432b56122c,2025-01-20T23:05:59Z
FiloSottile/age,Go,21238,https://github.com/FiloSottile/age,SUCCESS,GoModules,True,GitHub Actions,3d91014ea095e8d70f7c6c4833f89b53a96e0832,2025-02-01T17:15:20Z
fission/fission,Go,8827,https://github.com/fission/fission,FAILURE,GoModules,True,GitHub Actions,699011e18ef19068105875de787da0bd02c19523,2024-12-26T06:33:49Z
werf/werf,Go,4648,https://github.com/werf/werf,FAILURE,GoModules,True,GitHub Actions,076a52b443a04dacfbb7bb88da692b349336a463,2024-12-25T12:16:44Z
flosch/pongo2,Go,3026,https://github.com/flosch/pongo2,FAILURE,GoModules,True,GitHub Actions,a4346fd89eecfd9daabd528b376c76a1b55f4e2f,2026-01-05T16:18:47Z
fsnotify/fsnotify,Go,10540,https://github.com/fsnotify/fsnotify,SUCCESS,GoModules,True,GitHub Actions,7ed6dcb04612a4933ec8a40f98959c3e7c97f78e,2025-03-19T17:16:05Z
fsouza/go-dockerclient,Go,2235,https://github.com/fsouza/go-dockerclient,SUCCESS,GoModules,True,GitHub Actions,53be762dbe28e8d843be3aae87f7cdb79c5b5df2,2025-01-02T03:23:10Z
fullstorydev/grpcurl,Go,12435,https://github.com/fullstorydev/grpcurl,SUCCESS,GoModules,True,GitHub Actions,7e1a6c9068ad72a3045fb1da86e237dac2a730c1,2025-01-13T15:33:18Z
future-architect/vuls,Go,12044,https://github.com/future-architect/vuls,SUCCESS,GoModules,True,GitHub Actions,98351be8baf4ac0c975604f07f0613b6ff1d0974,2025-01-06T07:49:49Z
fyne-io/fyne,Go,27908,https://github.com/fyne-io/fyne,FAILURE,GoModules,True,GitHub Actions,e71bfd949567e3c9260fa431075f29e304699127,2025-07-23T00:44:56Z
gdamore/tcell,Go,5064,https://github.com/gdamore/tcell,FAILURE,GoModules,True,GitHub Actions,590f870e01eb4f55aad5a369ffd8ab1b36518d32,2025-11-30T17:30:06Z
getgauge/gauge,Go,3137,https://github.com/getgauge/gauge,SUCCESS,GoModules,True,GitHub Actions,c779a46f5817bdda21a447be66c421276c8fd0a3,2024-12-27T05:04:07Z
gin-gonic/gin,Go,87948,https://github.com/gin-gonic/gin,SUCCESS,GoModules,True,GitHub Actions,23d6961aeb9d2670a7b36c77cb180f479e220580,2024-12-30T03:39:24Z
